id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
188,188 - Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,S/N,4,SMC,19.41171,-99.19014,188 GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA ,"186,187,189",10,"BIKE,TPV",OPN,
189,189 - Gobernador Rafael Rebollar-Gobernador José Ceballos,S/N,14,SMC,19.41004,-99.18798,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS,"186,187,188",2,BIKE,OPN,
190,190 - Gobernador Ignacio Esteva-Maestro José Vasconcelos,S/N,6,SMC,19.409569,-99.183833,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS,"33,187,189,449",18,ELECTRIC_BIKE,OPN,
191,191 - Gobernador Rafael Rebollar-Gobernador Vicente Eguia,S/N,11,SMC,19.4079,-99.18795,191 GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA,"176,189,190",10,BIKE,OPN,
192,192 - Rubén Darío-Reforma,S/N,31,CHA,19.42592,-99.190755,192 RUBEN DARIO-REFORMA,"193,234,238",3,"BIKE,TPV",OPN,11510.0
193,193 - Rubén Darío.Reforma,S/N,18,CHA,19.425907,-99.190733,193 RUBEN DARIO-REFORMA,"192,234,238",17,BIKE,OPN,11510.0
194,194 - Av. Paseo de la Reforma-Circuito Mahatma Gandhi,S/N,13,CHA,19.424282,-99.180334,194 CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA,"195,253,261",11,"BIKE,TPV",OPN,11510.0
195,195 - Circuito Mahatma Gandhi-Av. Paseo de la Reforma,S/N,0,CHA,19.424926,-99.185147,195 AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI,"194,253,261",23,"BIKE,TPV",OPN,
196,196 - Lago Tanganica- Av. Ejército Nacional,S/N,23,POL,19.438349,-99.192904,196 LAGO TANGANICA-AV. EJERCITO NACIONAL,"204,244,245",4,BIKE,OPN,11510.0
197,197 - Miguel de Cervantes Saavedra-Ferrocarril de Cuernavaca,S/N,0,1,19.440077,-99.204316,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,197,34,"BIKE,TPV",OPN,
198,198 - Sócrates-Ejercito Nacional,S/N,0,POL,19.438168,-99.203888,198 SÓCRATES-EJERCITO NACIONAL ,"240,241",26,"BIKE,TPV",OPN,
